2021.06.27 星期日
13:26 6.27台灣阿正有男38政府機關0.5 阿山你單身嗎？
13:26 德行天下 我也是這麼認為的
13:26 德行天下 我是
13:26 德行天下 我單身兩年了
13:27 6.27台灣阿正有男38政府機關0.5 那也有一小段時間了
13:27 德行天下 你這個還好啦
13:27 德行天下 最起碼有人陪伴
13:27 德行天下 但是我都是一個人做什麼事情都是一個人
13:27 6.27台灣阿正有男38政府機關0.5 能獨立自主的人很厲害啊
13:28 6.27台灣阿正有男38政府機關0.5 雖然有人陪但還是過的像自己一個人一樣
13:28 德行天下 一路走來酸甜苦辣風風雨雨都只有自己知道
13:29 德行天下 這樣的陪伴就有些讓人寒心了
13:29 德行天下 陪伴本身的意義就是不讓自己孤獨讓自己的內心世界感到更加的溫暖，告別一個人的內心世界
13:30 6.27台灣阿正有男38政府機關0.5 靜下來時，想想接下來日子，真的可以繼續這樣嗎
13:30 德行天下 其實這樣的愛情作為一個旁觀者來說不要也罷
13:31 德行天下 名義上是兩個人但是在事情的根本上還是一個人在生活
13:31 6.27台灣阿正有男38政府機關0.5 太常自己一個，就很容易會亂想
13:32 6.27台灣阿正有男38政府機關0.5 而且年紀也不小了，還是得做好長久打算
13:37 德行天下 沒錯，因為得不到陪伴在心靈上依舊是一個人
13:38 德行天下 我也是這麼認為的，我們都是同志又沒有和異性談戀愛沒有小孩到老了陪伴自己的只有自己的伴侶，這是唯一的方式不然面對的就是孤獨
13:40 6.27台灣阿正有男38政府機關0.5 至少明確的知道，自己不想以後還是這樣一個人過
13:40 6.27台灣阿正有男38政府機關0.5 所以就得改變一下現況
13:41 德行天下 對呀，我們的想法都很雷同
13:41 6.27台灣阿正有男38政府機關0.5 加上疫情關係，現在空閒時間變多，也更容易靜下來審思這些
13:41 德行天下 執行能力決定事情的效率，感情也是如此
13:45 6.27台灣阿正有男38政府機關0.5 至少要做些改變，總不能繼續這樣下去
13:46 6.27台灣阿正有男38政府機關0.5 有時候真的只是太怕改變，怕未知的結果，導致拖延太久
13:56 德行天下 可以改變自己就等於是成功了一半，做任何事情都是這樣，永遠都是人去適應環境但是環境卻永遠不會適應人
13:57 德行天下 改變是對生活的一種態度，但是結局還算決定自己思維上的選擇
13:57 德行天下 思維決定出路，格局決定結局，事業愛情，都是如此
13:58 德行天下 你認為呢
14:04 6.27台灣阿正有男38政府機關0.5 我也是這樣覺得，只是常常事情發生在自己身上時，就容易一直拖延下去
14:05 6.27台灣阿正有男38政府機關0.5 至少不管怎麼決定，總要打破現狀才能繼續下一步了
14:06 德行天下 就是在決定這方面容易猶豫不決是嗎，自己下不了決定是這個意思嗎
14:08 德行天下 沒錯，就像人生的高度一樣只有打破從園才能進取，從而破鏡
14:08 6.27台灣阿正有男38政府機關0.5 其實基本上都決定好了，就差什麼時候執行
14:09 6.27台灣阿正有男38政府機關0.5 你今天休息都沒什麼安排嗎
14:11 德行天下 這就看個人的執行能力了，有的時候還是要當機立斷的，因為早放下這樣才能早把心態打開，早接觸到新的事物，不然在你心中你有牽絆
14:11 德行天下 今天就在家裡養神就好了
14:11 德行天下 做我們這份工作就是很傷神
14:12 德行天下 我的酒窖讓我同學在打理，我主要的工作就是在公司擔任金融分析師
14:20 6.27台灣阿正有男38政府機關0.5 這樣很棒啊，有個固定的工作，也有自己有興趣的投資
14:20 6.27台灣阿正有男38政府機關0.5 那真的要好好休息，不要傷了身體
14:20 6.27台灣阿正有男38政府機關0.5 不管做什麼身體健康才是最為重要
14:23 德行天下 沒錯
14:23 德行天下 一個人男人一定要有一個好的身體，打拼事業需要一個好的身體，事業打拼出來了享受也需要一個好的身體
14:24 德行天下 所以我喜歡健身
14:24 6.27台灣阿正有男38政府機關0.5 看得出來有在運動健身的樣子
14:25 德行天下 你喜歡健身嗎
14:25 6.27台灣阿正有男38政府機關0.5 而且有在運動，運動過程中思緒也會更為清楚
14:26 6.27台灣阿正有男38政府機關0.5 之前有去健身房一段時間，不過也只有做一些基本的
14:26 6.27台灣阿正有男38政府機關0.5 換了工作地點後就沒在去過了
14:26 德行天下 沒錯在運動的過程中可以讓一個人的思維更加的沉定
14:27 6.27台灣阿正有男38政府機關0.5 疫情關係，放假都關家裡，整個人真的都會沈悶很多
14:28 德行天下 我喜歡在運動完后思考問題因為那個時候我整個人的心思都是沉定下來的很穩定思考問題思維也很集中，還有在喝茶的時候一個人喝茶的時候思維也可以沉定下來，茶真的是個可以修身養性的好東西
14:28 德行天下 在家裡可以做一些簡單的運動
14:29 德行天下 這樣也可以爭強體質，陶冶情操
14:29 6.27台灣阿正有男38政府機關0.5 沈靜下來後，想法也比較會理性一點
14:30 德行天下 沒錯，人們的想法很多錯誤的決定都是心沒靜下來來和衝動的情緒導致而成的
14:30 6.27台灣阿正有男38政府機關0.5 是有在做一些簡單的運動，不然身體真的變得有點差
14:31 6.27台灣阿正有男38政府機關0.5 稍微沈靜一下是很有必要的
14:31 德行天下 健身久了的話整個人會更加的有自信，加上有一個好的身體做起事情來也更加的有信心
14:31 6.27台灣阿正有男38政府機關0.5 沒錯，之前有在運動時，真的也比較不會胡思亂想
14:32 6.27台灣阿正有男38政府機關0.5 精神好，自信也很好多
14:32 德行天下 沒錯
14:33 德行天下 等我移民到了台灣以後我們可以一起健身
14:34 德行天下 我有打算投資一家健身房，來認識新的朋友和作為自己的健身場地
14:34 6.27台灣阿正有男38政府機關0.5 你有打算移民過來啊
14:34 6.27台灣阿正有男38政府機關0.5 哪說不定以後真的有機會一起運動
14:35 德行天下 對呀
14:35 德行天下 我上一次來台灣就是為了我的酒窖更新還有就是找房子移民到台灣
14:35 德行天下 一定會的能相識就是一種緣分
14:36 6.27台灣阿正有男38政府機關0.5 你的酒窖在台灣啊？
14:36 德行天下 在澳門
14:36 6.27台灣阿正有男38政府機關0.5 瞭解
14:37 6.27台灣阿正有男38政府機關0.5 你是打算定居在台灣那邊呢？
14:41 德行天下 我來台灣只是來為酒窖談單，我是做進出口需要更新資源
14:43 德行天下 這個還沒定因為我朋友說我喜歡的戶型現在在台灣被很多人買了戶型不是很好找所以沒有限制區域上的限制
14:46 6.27台灣阿正有男38政府機關0.5 瞭解
14:47 6.27台灣阿正有男38政府機關0.5 不過各地區環境畢竟有差異，你是喜歡什麼戶型呢？
14:54 德行天下 我喜歡海景房或者是海景別墅，綠化多點採光好點寧靜一點的地方
14:54 德行天下 因為移民台灣是過退休的生活
14:54 德行天下 喜歡相對來說寧靜一點的地方
14:57 6.27台灣阿正有男38政府機關0.5 聽起來應該要到台灣東部去或最南部了
14:58 6.27台灣阿正有男38政府機關0.5 北部應該很難寧靜
15:01 德行天下 現在還不知道呢到時候會身在何處
15:01 德行天下 當然了如果每個地方都有我需要的戶型我相信我還是會仔細觀察地方去選擇一個自己喜歡的地區的
15:08 6.27台灣阿正有男38政府機關0.5 感覺也蠻自在隨性的
15:09 6.27台灣阿正有男38政府機關0.5 多去看看應該就會遇到喜歡的房子跟地點了
15:13 德行天下 是的，對於我來說人生最喜歡的狀態就是隨心所欲的活著，人生一輩子說長不長說短不短，且行好事，莫問前程
15:14 德行天下 我自己是沒有時間去看的因為我人是在澳門，所以只能讓我的朋友去幫我尋找
15:15 6.27台灣阿正有男38政府機關0.5 讓他先找，可以省下很多自己來時找尋的時間
15:16 6.27台灣阿正有男38政府機關0.5 現在也沒辦法說來就來
15:16 德行天下 到時候移民到了台灣送些禮品給他，然後請他吃大餐就好了都是朋友
15:17 德行天下 現在去台灣是沒辦法過去了，疫情很是讓人害怕
15:17 6.27台灣阿正有男38政府機關0.5 一般不會計較太多的，情意有到就很足夠了
15:18 6.27台灣阿正有男38政府機關0.5 台灣目前也還沒穩定下來，就當有更多時間準備這些事情啊
15:18 德行天下 是的，情義就是這樣，出門在外就是互相幫助嘛
15:18 德行天下 在家靠親戚，出門就是靠朋友
15:19 德行天下 如果沒有猜錯的話現在很多人出門都應該很擔心把
15:19 德行天下 估計這場疫情讓很多的人都失業了
15:20 6.27台灣阿正有男38政府機關0.5 不過應該大家在家裡也悶太久了，外出的人也稍微有增多的情形
15:20 6.27台灣阿正有男38政府機關0.5 真的不少人都失業
15:21 6.27台灣阿正有男38政府機關0.5 好一點的至少居家辦公
15:21 6.27台灣阿正有男38政府機關0.5 唯一慶幸的是，自己完全沒被影響到
15:22 德行天下 很幸運你
15:22 德行天下 除了星期六和週末你其它的時間都是在公司辦公嗎
15:23 6.27台灣阿正有男38政府機關0.5 對啊，還是跟疫情前一樣，正常上下班
15:24 6.27台灣阿正有男38政府機關0.5 畢竟公部門也不能停止運轉
15:24 德行天下 這樣挺好的
15:24 德行天下 公司的部門很大吧
15:24 德行天下 想必也是有一定的實力
15:25 6.27台灣阿正有男38政府機關0.5 是在政府機關工作
15:26 德行天下 了解
15:26 德行天下 職業病，我是在公司，工作習慣了XD
15:26 6.27台灣阿正有男38政府機關0.5 不會啦
15:27 6.27台灣阿正有男38政府機關0.5 有時候也怕會不會聊天有點用詞不一樣，會造成你的誤解
15:28 德行天下 偏差應該是多少會存在的吧
15:28 德行天下 但是沒關係可以相互溝通的嘛
15:30 6.27台灣阿正有男38政府機關0.5 不過感覺沒有差很多，可以很正常的聊
15:30 德行天下 因為工作的原因吧
15:31 德行天下 我們接觸的人會相對來說比起其它的工作接觸的人會更多一些
15:31 6.27台灣阿正有男38政府機關0.5 你應該接觸的人會蠻多的
15:31 6.27台灣阿正有男38政府機關0.5 我是之前在私人公司工作時接觸比較多，不過大多都是做工的人
15:32 德行天下 是的
15:32 6.27台灣阿正有男38政府機關0.5 就某方面來講也是接觸很多，畢竟工地的人來來去去很快
15:32 德行天下 而且接觸的都是稍微比較上流的人士
15:32 德行天下 所以我們很注意自己的舉止還有風格
15:33 6.27台灣阿正有男38政府機關0.5 跟我完全反過來
15:33 6.27台灣阿正有男38政府機關0.5 雖然行為舉止沒辦法像你這樣，不過也習慣遇到各種不一樣的人就有不一樣的聊天方式
15:35 德行天下 但是這並沒什麼，人和人相處最好是不要有任何的間隔縫隙不然這樣會影響兩個人的關係，而且相處起來會給人一種非常不舒服的感覺
15:36 德行天下 我覺得朋友就是平等的對待，別帶有色眼鏡看待任何一個人
15:36 德行天下 這樣也是一種很好的狀態，我覺得你的人生還會更上一層樓的
15:37 德行天下 因為你是一個有上進的人，懂得反思的生活，知道面對，從而去改變自己
15:37 6.27台灣阿正有男38政府機關0.5 人本來就是互相的，你怎麼對人，人家就怎麼對你
15:38 6.27台灣阿正有男38政府機關0.5 只可惜現在動力都不太夠，真的要在加強一點
15:39 6.27台灣阿正有男38政府機關0.5 不能只是空想
15:40 德行天下 一個成功的人不會是自己原來最初的樣子，因為他身經百戰以後會，身上會1隱藏很多人看不到的傷疤，這個傷疤指的是在經歷上吃過的虧，隨著經歷的磨變，就一點一點的磨掉了自己身上的鄰角，當一個人磨平了自己心中的鄰角那麼就會成為林外一種不一樣的境界、
15:40 德行天下 反過來說就像你現在的作為改變自己就是成功的開始，朝著成功的方向
15:41 德行天下 沒錯，這個世界上沒有傻子，只存在反應快慢之分
15:42 德行天下 沒錯，做任何事情都不能紙上談兵，執行能力聖過一切的計劃
15:43 6.27台灣阿正有男38政府機關0.5 年紀大了一點，好像膽子就小了一些
15:43 6.27台灣阿正有男38政府機關0.5 這幾年過的太安逸了
15:47 德行天下 沒錯，少了當初的那一份沖勁
15:47 6.27台灣阿正有男38政府機關0.5 真的明顯差了很多
15:48 德行天下 人一但過的太安逸了思維就會沉思到之前的想法沒有刷新自己的世界觀就會很迷茫同時也會跟不上社會的步伐
15:49 6.27台灣阿正有男38政府機關0.5 離開私人公司後，競爭差了很多，真的就很容易停下了腳步
15:52 德行天下 要多接觸有格局，思維層次高的人這樣才會讓自己的大腦更加的強大，更好的武裝
15:58 6.27台灣阿正有男38政府機關0.5 真的只能改變現況，跟多接觸點不一樣的
15:58 6.27台灣阿正有男38政府機關0.5 覺得你蠻厲害的，明明年紀也沒差很多，卻想的也蠻多，也蠻清楚自己在做什麼
15:59 德行天下 是的，近朱者赤近墨者黑
15:59 德行天下 再直白一點說就是跟著蒼蠅找廁所，跟著蜜蜂找花香
16:00 6.27台灣阿正有男38政府機關0.5 周邊接觸的環境影響太大了
16:01 德行天下 我做的每一件事情我心裡都很清楚，我從來不會後悔，因為後悔的人永遠不會成長
16:01 德行天下 沒錯
16:04 6.27台灣阿正有男38政府機關0.5 後悔也沒什麼用，至少也是自己當下覺得可能是最好的決定，還是得往前看
16:05 德行天下 到了晚年，會發現每一個決定都是自己喜歡的畫面，想完美它但是卻又回不去 ，從容而又淡淡的一笑
16:08 6.27台灣阿正有男38政府機關0.5 這就是人生啊，總會有點不完美，但都是很寶貴的經驗跟回憶
16:08 德行天下 Yes，每一段路都是一種領悟
16:11 6.27台灣阿正有男38政府機關0.5 沒錯
16:12 6.27台灣阿正有男38政府機關0.5 你應該也來過台灣很多次吧
16:12 6.27台灣阿正有男38政府機關0.5 不然怎麼會想移民來這
16:12 德行天下 是的，之前沒有疫情之前常來
16:13 德行天下 但是有疫情了之後就少了
16:15 6.27台灣阿正有男38政府機關0.5 這也沒辦法，等台灣疫苗施打率夠高，應該就會慢慢解禁了
16:16 6.27台灣阿正有男38政府機關0.5 所以你台灣應該也去過蠻多地方了吧
16:16 德行天下 去過台中還有桃園
16:17 6.27台灣阿正有男38政府機關0.5 好像都是比較熱鬧一點的地方
16:19 德行天下 沒去比較多
16:20 德行天下 反正差事在哪裡就去哪裡吧
16:20 6.27台灣阿正有男38政府機關0.5 你是之前公司出差就會到台灣來嗎？
16:24 德行天下 是為了我的酒窖
16:24 德行天下 公司很少很少出差
16:26 6.27台灣阿正有男38政府機關0.5 所以算是邊出差邊旅遊嗎
16:41 德行天下 哈哈，想法是這樣的
16:41 德行天下 但是現實不是
16:48 6.27台灣阿正有男38政府機關0.5 所以都沒玩到啊,哈
16:49 德行天下 疫情打破了我的計劃XD
16:50 6.27台灣阿正有男38政府機關0.5 疫情前至少有玩到吧
16:52 德行天下 在台灣沒怎麼玩
16:52 德行天下 但是去其它地方出差是有的
16:53 6.27台灣阿正有男38政府機關0.5 還有去過那些地方呢？
16:54 6.27台灣阿正有男38政府機關0.5 沒怎麼來確想移民過來？
16:57 德行天下 泰國，馬來西亞，大陸，新加坡，香港
16:57 德行天下 我喜歡台灣很久了
16:57 德行天下 想移民台灣的想法也在心裡萌生了好久了
16:59 6.27台灣阿正有男38政府機關0.5 那也去過不少地方了
17:00 6.27台灣阿正有男38政府機關0.5 原來如此，那真的可以來這邊生活看看
17:00 德行天下 图片
17:00 德行天下 這個是在大陸的上海拍的
17:01 德行天下 已經決定要移民了，疫情好了就去台灣了
17:01 6.27台灣阿正有男38政府機關0.5 好多海鷗啊
17:02 6.27台灣阿正有男38政府機關0.5 看起來你很多前置作業也都準備好了
17:02 德行天下 图片
17:02 德行天下 對呀
17:02 德行天下 沒錯
17:02 德行天下 這個是在千島湖拍的
17:03 德行天下 图片
17:03 德行天下 图片
17:03 德行天下 這個是在新疆拍的
17:04 6.27台灣阿正有男38政府機關0.5 新疆感覺也很棒，一直也有想去看看
17:04 6.27台灣阿正有男38政府機關0.5 窗景看起來就像畫一樣
17:05 德行天下 有機會我們可以再去呀
17:05 德行天下 我也很喜歡這個畫面
17:06 6.27台灣阿正有男38政府機關0.5 穿浴袍在原野，這種景還真的有種說不出的違和感，哈
17:07 德行天下 這個是之前沒去之前就規劃到的相片風格
17:08 德行天下 還有很多的
17:08 德行天下 我的朋友很專業
17:08 6.27台灣阿正有男38政府機關0.5 看的出來不是一般人隨便拍拍那種
17:09 6.27台灣阿正有男38政府機關0.5 有朋友這樣，一起出差旅遊也挺棒的
17:09 德行天下 有機會給你介紹我的朋友認識
17:09 德行天下 每次想拍照的時候就去找他
17:09 德行天下 因為我是不喜歡自拍的
17:09 6.27台灣阿正有男38政府機關0.5 好啊，多認識點朋友
17:09 德行天下 我自拍不好看的XD
17:09 德行天下 你都有什麼興趣愛好呢
17:09 6.27台灣阿正有男38政府機關0.5 有這麼慘嗎,哈
17:10 德行天下 我身邊很多朋友都這樣不喜歡自拍，但是別人拍照都願意
17:10 德行天下 可能是心理不自信吧周圍很多人都這樣
17:11 6.27台灣阿正有男38政府機關0.5 我是不太常拍照，當知道有鏡頭時容易表情僵硬，XD
17:12 6.27台灣阿正有男38政府機關0.5 旅遊、看電影、電玩
17:13 德行天下 你都去過哪些地方呢
17:13 德行天下 願意和我分享一下嗎
17:13 6.27台灣阿正有男38政府機關0.5 我只去過泰國跟日本而已
17:13 德行天下 你最喜歡的國家是哪裡
17:13 6.27台灣阿正有男38政府機關0.5 我看看也沒有什麼照片，幾乎都在電腦裡面
17:14 6.27台灣阿正有男38政府機關0.5 應該是日本，但還是想到各個不同的地方看看，沒體驗過也很難說
17:14 德行天下 了解
17:14 德行天下 世界很大我都想去看看
17:15 德行天下 我有一個心願就是想和自己的愛人環遊世界
17:15 德行天下 圍著世界走一圈
17:15 6.27台灣阿正有男38政府機關0.5 這心願很棒啊，我也很想到各個地方去看
17:16 德行天下 那我們到時候可以一起去呀
17:16 6.27台灣阿正有男38政府機關0.5 好啊
17:17 德行天下 贴图
17:17 6.27台灣阿正有男38政府機關0.5 贴图
17:17 德行天下 交換一些照片嗎？
17:24 6.27台灣阿正有男38政府機關0.5 图片
17:24 6.27台灣阿正有男38政府機關0.5 我找一下
17:24 德行天下 好的
17:25 6.27台灣阿正有男38政府機關0.5 因為手機只有前年到現在的照片，更早的要去雲端找看看
17:25 德行天下 沒關係
17:26 德行天下 图片
17:38 6.27台灣阿正有男38政府機關0.5 图片
17:39 6.27台灣阿正有男38政府機關0.5 照片比起來，你那邊真的專業很多
17:39 6.27台灣阿正有男38政府機關0.5 我的就很像一般生活照XD
17:42 德行天下 風景好漂亮
17:42 德行天下 也很不錯呀XD
17:48 6.27台灣阿正有男38政府機關0.5 图片
17:48 6.27台灣阿正有男38政府機關0.5 幾乎都只有日本的照片
17:52 德行天下 拍的不錯呀
18:02 6.27台灣阿正有男38政府機關0.5 也好一陣子沒出去了，好想去旅遊啊
18:26 德行天下 我也是
18:26 德行天下 因為疫情的原因不敢亂跑
18:43 6.27台灣阿正有男38政府機關0.5 你們那邊有管制外出的活動嗎？
18:44 德行天下 沒有
18:44 德行天下 相對來說還是比較自由的
18:45 6.27台灣阿正有男38政府機關0.5 那至少沒影響到生活
18:45 德行天下 只是說現在不能聚眾了
18:45 德行天下 基本上沒有
18:45 德行天下 台灣應該也應該慢慢的快好起來了
18:46 6.27台灣阿正有男38政府機關0.5 目前看穩定蠻多的，在忍耐一陣子應該就能恢復正常
19:11 德行天下 等疫情結束了我就是台灣人民了
19:24 6.27台灣阿正有男38政府機關0.5 哈哈，歡迎來台灣啊
19:26 德行天下 晚上好
19:27 德行天下 你用餐了嗎
19:27 6.27台灣阿正有男38政府機關0.5 剛剛吃飽了
19:27 德行天下 我也吃過了
19:27 6.27台灣阿正有男38政府機關0.5 你吃晚餐了沒
19:27 德行天下 晚上吃的什麼好料
19:27 德行天下 我也吃過了
19:27 6.27台灣阿正有男38政府機關0.5 剛剛外出買牛肉麵
19:27 6.27台灣阿正有男38政府機關0.5 你呢，吃了什麼
19:28 德行天下 我晚上吃的牛肉
19:29 6.27台灣阿正有男38政府機關0.5 自己做的啊？
19:29 德行天下 和青菜和蘋果
19:29 德行天下 今天吃的是外賣
19:29 德行天下 本來是打算今天晚上自己做飯的下午和你聊天聊著聊著忘了出去買菜
19:30 德行天下 我平時沒事的時候就喜歡在家裡烹飪
19:30 6.27台灣阿正有男38政府機關0.5 不小心了太久了啊，哈
19:30 6.27台灣阿正有男38政府機關0.5 好厲害啊，我只會簡單熱個東西來吃
19:30 6.27台灣阿正有男38政府機關0.5 完全就是料理白癡
19:33 德行天下 图片
19:34 6.27台灣阿正有男38政府機關0.5 都是你做的啊
19:35 德行天下 對呀
19:35 德行天下 朋友在我家聚餐我做的
19:35 6.27台灣阿正有男38政府機關0.5 好厲害
19:35 德行天下 因為疫情的原因現在飯店不允許聚眾聚餐
19:35 德行天下 朋友們都喜歡讓我做飯
19:35 德行天下 然後一起吃
19:36 6.27台灣阿正有男38政府機關0.5 看起來就很美味
19:36 德行天下 图片
19:36 6.27台灣阿正有男38政府機關0.5 可以理解為什麼喜歡吃你做的
19:37 德行天下 他們都喜歡買菜然後叫我去他們家裡做
19:37 德行天下 不過我很喜歡烹飪的過程
19:38 6.27台灣阿正有男38政府機關0.5 做自己喜歡的事很棒啊
19:38 6.27台灣阿正有男38政府機關0.5 我太怕被油噴到，所以很不適合
19:38 6.27台灣阿正有男38政府機關0.5 手也不巧，切菜也不太行
19:39 6.27台灣阿正有男38政府機關0.5 大概就真的知道吃而已，哈哈
19:39 德行天下 謙虛了吧
19:40 6.27台灣阿正有男38政府機關0.5 真的不太會切，我都切的亂七八糟的
19:40 德行天下 沒關係等我來到餓了台灣歡迎你來我家坐客，我烹飪菜品給你品嘗
19:40 德行天下 我每次都做了很多吃不了
19:40 德行天下 到吃飯的時候就會覺得很孤獨
19:40 6.27台灣阿正有男38政府機關0.5 幫忙吃絕對沒有問題
19:41 德行天下 好哇
19:41 6.27台灣阿正有男38政府機關0.5 可以理解，所以我都不太在外面吃
19:41 6.27台灣阿正有男38政府機關0.5 感覺以後有地方吃美味的料理了，哈哈
19:42 德行天下 我喜歡烹飪的過程，因為這個過程不會讓我去想其它的事情，我只會一心的把菜做好 ，很專注這個時間雖然很短暫但是讓我很快樂，在我做菜的時候不會有任何孤獨感不敢靠近我
19:47 6.27台灣阿正有男38政府機關0.5 也算是個沈靜的好方法，而且很享受在做一件事真的很不錯
19:47 6.27台灣阿正有男38政府機關0.5 做好再找人一起吃就好了
19:47 德行天下 找你XD
19:50 6.27台灣阿正有男38政府機關0.5 可以啊，到時候可以一起吃，只是料理我能幫的很有限，大概只能幫忙買菜，後面洗碗盤之類的吧XD
19:51 德行天下 只要有一個洗碗的就可以了其它的我搞定
19:51 德行天下 來個洗碗的再來個能吃的最好是不要浪費了
19:57 6.27台灣阿正有男38政府機關0.5 是蠻少會浪費食物，能吃完我還真的很少讓他剩下過
19:57 6.27台灣阿正有男38政府機關0.5 不過體重就不小心上升了不少就是了XD
20:04 德行天下 沒關係呀
20:04 德行天下 我這裡是全套的先吃飯，然後再帶你健身
20:05 6.27台灣阿正有男38政府機關0.5 那可以盡量吃了，哈哈
20:05 6.27台灣阿正有男38政府機關0.5 其實主要變胖也是因為沒在運動
20:05 德行天下 而且看你照片也 不胖
